listing_url,name,host_id,host_name,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,license,host_lcount
https://www.airbnb.com/rooms/6369,"Rooftop terrace room ,  ensuite bathroom",13660,Simon,Chamartín,40.45724,-3.67688,Private room in rental unit,Private room,2,77,3,99,False,1
https://www.airbnb.com/rooms/21853,Bright and airy room,83531,Abdel,Latina,40.40381,-3.7413,Private room in rental unit,Private room,1,31,4,33,False,2
https://www.airbnb.com/rooms/24805,Gran Via Studio Madrid,346366726,Alvaro,Centro,40.42183,-3.70529,Entire rental unit,Entire home/apt,3,92,5,24,False,1
https://www.airbnb.com/rooms/26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,40.38975,-3.69018,Private room in home,Private room,1,26,2,166,False,1
https://www.airbnb.com/rooms/363476,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,40.41676,-3.70682,Private room in rental unit,Private room,2,49,2,475,False,1
https://www.airbnb.com/rooms/30320,Great Vacational Apartments,130907,Dana,Centro,40.41476,-3.70418,Entire rental unit,Entire home/apt,2,120,5,171,False,3
https://www.airbnb.com/rooms/30478,Nice little room @ La Latina,130502,Patricia,Centro,40.40949,-3.70477,Private room in rental unit,Private room,1,20,6,6,False,1
https://www.airbnb.com/rooms/30959,Beautiful loft in Madrid Center,132883,Angela,Centro,40.41259,-3.70105,Entire loft,Entire home/apt,2,54,3,8,False,1
https://www.airbnb.com/rooms/40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Luis,Centro,40.41969,-3.69736,Entire rental unit,Entire home/apt,4,84,2,127,False,10
https://www.airbnb.com/rooms/371532,"Fantastic Location. Great apartment, Opera",1871034,Olga,Centro,40.41944,-3.70945,Entire rental unit,Entire home/apt,3,85,2,100,False,1
https://www.airbnb.com/rooms/40916,Holiday Apartment Madrid Center,130907,Dana,Centro,40.42247,-3.70577,Entire rental unit,Entire home/apt,3,90,5,49,False,3
https://www.airbnb.com/rooms/47957,"Amazing Apartment, Salamanca Distri",218515,Sergio,Salamanca,40.42792,-3.67682,Entire condo,Entire home/apt,3,82,10,58,False,2
https://www.airbnb.com/rooms/375472,Host family in the center of Madrid,1888816,Margarita,Arganzuela,40.40334,-3.70254,Private room in bed and breakfast,Private room,2,29,6,148,False,4
https://www.airbnb.com/rooms/62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,40.41884,-3.69655,Private room in rental unit,Private room,3,49,1,136,False,2
https://www.airbnb.com/rooms/376379,Great Studio for Rent in Madrid,1892467,Laura,Centro,40.41115,-3.69673,Entire loft,Entire home/apt,2,41,10,24,False,3
https://www.airbnb.com/rooms/70073,Adorable Apartment Malasaña-Gran Via,353738,Raquel,Centro,40.42252,-3.7025,Entire rental unit,Entire home/apt,2,85,28,28,False,4
https://www.airbnb.com/rooms/70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,40.42252,-3.7025,Entire rental unit,Entire home/apt,2,66,28,26,False,4
https://www.airbnb.com/rooms/74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,40.40864,-3.70884,Entire rental unit,Entire home/apt,4,80,8,5,False,1
https://www.airbnb.com/rooms/396532,"Apart. 25mts from Gran Via,exterior",1981346,Daniel,Centro,40.41959,-3.70373,Entire rental unit,Entire home/apt,3,108,2,119,False,1
https://www.airbnb.com/rooms/397778,PUERTA DEL SOL VI - MADRID CENTRE,1408525,Mad4Rent,Centro,40.41506,-3.7029,Entire rental unit,Entire home/apt,2,92,3,51,True,60
https://www.airbnb.com/rooms/82481,"Retiro Park, Stay at cosy studio",448981,Mercedes,Salamanca,40.42342,-3.68123,Entire rental unit,Entire home/apt,2,63,3,108,False,1
https://www.airbnb.com/rooms/84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,40.40866,-3.70374,Entire rental unit,Entire home/apt,2,60,7,187,True,1
https://www.airbnb.com/rooms/398450,a special place with special views,2150362,Nuria,Centro,40.42771,-3.71029,Entire rental unit,Entire home/apt,3,62,3,272,False,1
https://www.airbnb.com/rooms/86042,Cozy attic with intimate rooftop terrace+ elevator,364585,Vin,Centro,40.40939,-3.69812,Entire rental unit,Entire home/apt,5,183,3,168,True,4
https://www.airbnb.com/rooms/402588,PUERTA DEL SOL l - MADRID CENTRE,1408525,Mad4Rent,Centro,40.4149,-3.70331,Entire rental unit,Entire home/apt,4,98,3,176,True,60
https://www.airbnb.com/rooms/404569,GRAN VIA  -  Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,40.42552,-3.70589,Entire rental unit,Entire home/apt,3,98,3,64,True,60
https://www.airbnb.com/rooms/89954,Amazing apt in the historic center,487095,Beatriz,Centro,40.41358,-3.71353,Entire loft,Entire home/apt,6,114,2,213,True,1
https://www.airbnb.com/rooms/406341,"Quiet downtown Madrid, nearby all",2024487,Fernando,Salamanca,40.42978,-3.67817,Private room in rental unit,Private room,1,27,3,146,False,1
https://www.airbnb.com/rooms/414763,LATINA - lV - STUDIO MADRID CENTRE,1408525,Mad4Rent,Centro,40.41281,-3.70749,Entire rental unit,Entire home/apt,2,80,3,59,True,60
https://www.airbnb.com/rooms/415967,LAVAPIES CLASSY (CENTER TOWN),2068619,Alfonso,Centro,40.40827,-3.70049,Entire rental unit,Entire home/apt,3,83,2,152,False,1
https://www.airbnb.com/rooms/93100,*** MALASAÑA B&B ***,499977,Charo,Centro,40.42378,-3.70248,Private room in rental unit,Private room,3,32,1,718,False,2
https://www.airbnb.com/rooms/420039,Bonito estudio en pleno centro,9934732,Fernando Javier,Centro,40.42738,-3.70635,Entire rental unit,Entire home/apt,2,59,1,696,True,3
https://www.airbnb.com/rooms/100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,40.50044,-3.67032,Entire rental unit,Entire home/apt,2,60,2,3,False,1
